Ticker,Date,Close,High,Low,Open,Volume
AAPL,2015-01-02,24.192596435546875,24.659498405638068,23.754460321460428,24.64843370581677,212818400
AAPL,2015-01-05,23.511062622070312,24.042136374239757,23.325187737341313,23.962475227002493,257142000
AAPL,2015-01-06,23.51327133178711,23.7721691658831,23.15258296070491,23.57522961465761,263188400
AAPL,2015-01-07,23.842979431152344,23.94255500406204,23.610634176714214,23.72127445249682,160423600
AAPL,2015-01-08,24.759069442749023,24.81660283251852,24.053184266235,24.170464322982472,237458000
AAPL,2015-01-09,24.785633087158203,25.06002047662429,24.387327450645735,24.931677361721775,214798000
AAPL,2015-01-12,24.174901962280273,24.9228296715174,24.075326382352763,24.916191524620462,198603200
AAPL,2015-01-13,24.389543533325195,24.960447781897706,24.09966654067397,24.65729280767819,268367600
AAPL,2015-01-14,24.29660987854004,24.449292340286082,24.008944431257838,24.12843615451797,195826400
AAPL,2015-01-15,23.637191772460938,24.35414038758057,23.601787757118135,24.34086409285663,240056000
AAPL,2015-01-16,23.453523635864258,23.805360567456344,23.27871180910595,23.68365559685356,314053200
AAPL,2015-01-20,24.057619094848633,24.112939226436037,23.566376056234642,23.862891151189643,199599600
AAPL,2015-01-21,24.241287231445312,24.57541967816757,23.958046682410192,24.108517538238907,194303600
AAPL,2015-01-22,24.871938705444336,24.887428279247118,24.278906655479844,24.39839837691712,215185600
AAPL,2015-01-23,25.000272750854492,25.1706580006503,24.679414998563754,24.849801936595878,185859200
AAPL,2015-01-26,25.02682876586914,25.305642719304203,24.960445616732773,25.168448176577243,222460000
AAPL,2015-01-27,24.150556564331055,24.88963440186182,24.126215571319666,24.8763564222506,382274800
AAPL,2015-01-28,25.515857696533203,26.13765714169229,25.515857696533203,26.029228465091716,585908400
AAPL,2015-01-29,26.310258865356445,26.374430430207553,25.571180918654623,25.73935461660109,337745600
AAPL,2015-01-30,25.925230026245117,26.55366597735562,25.856631907802715,26.19961743530487,334982000
AAPL,2015-02-02,26.250516891479492,26.37000861770944,25.686252376114563,26.122175426924652,250956400
AAPL,2015-02-03,26.25493621826172,26.352298507154856,26.02480425574212,26.2217437998551,207662800
AAPL,2015-02-04,26.456302642822266,26.666520183230848,26.179701948787283,26.221745794516334,280598800
AAPL,2015-02-05,26.64513397216797,26.70955879365363,26.491847269498656,26.66290499248517,168984800
AAPL,2015-02-06,26.420759201049805,26.71400223470758,26.31412460021994,26.662906100062138,174826400
AAPL,2015-02-09,26.59625816345215,26.622915539684453,26.309679504659737,26.336338575791345,155559200
AAPL,2015-02-10,27.107210159301758,27.136091242542914,26.694005586143845,26.696225904162972,248034000
AAPL,2015-02-11,27.742576599121094,27.75146295792522,27.213850962022807,27.27383176532612,294247200
AAPL,2015-02-12,28.093576431274414,28.320174313577628,27.895859634991865,28.004714549879026,297898000
AAPL,2015-02-13,28.231319427490234,28.27574953174735,27.913639266842324,28.27574953174735,217088800
AAPL,2015-02-17,28.397933959960938,28.63119623716081,28.19577309373441,28.322400751240114,252609600
AAPL,2015-02-18,28.59564781188965,28.6089765023717,28.313511434089126,28.353499200434882,179566800
AAPL,2015-02-19,28.53566551208496,28.664515170633745,28.50900813093667,28.54232985737203,149449600
AAPL,2015-02-20,28.7689208984375,28.7689208984375,28.44679852386642,28.573424443890232,195793600
AAPL,2015-02-23,29.546464920043945,29.546464920043945,28.804471802520936,28.884447331881436,283896400
AAPL,2015-02-24,29.362071990966797,29.679753737991085,29.13991815577165,29.533131393210645,276912400
AAPL,2015-02-25,28.61119270324707,29.235447865976322,28.469014375568225,29.226559813734614,298846800
AAPL,2015-02-26,28.97330093383789,29.073269475348223,28.126895418026365,28.611189120800027,365150000
AAPL,2015-02-27,28.537891387939453,29.00663625092877,28.489017258922594,28.880006901257964,248059200
AAPL,2015-03-02,28.677839279174805,28.94220289932046,28.502339231657224,28.713384708226034,192386800
AAPL,2015-03-03,28.737823486328125,28.773368917506,28.45568713477693,28.648963298182327,151265200
AAPL,2015-03-04,28.555662155151367,28.7822600929338,28.506791413472467,28.68007119242384,126665200
AAPL,2015-03-05,28.08246612548828,28.60230526787316,27.93806579874831,28.564539524004008,226068400
AAPL,2015-03-06,28.124679565429688,28.740045038751425,28.049148063282413,28.524555513955516,291368400
AAPL,2015-03-09,28.244638442993164,28.78447402467503,27.782558059471576,28.426804519875816,354114000
AAPL,2015-03-10,27.660377502441406,28.26241425789635,27.502648465689692,28.08247017418936,275426400
AAPL,2015-03-11,27.156089782714844,27.718138827229005,27.127210388514765,27.713696495390376,275756000
AAPL,2015-03-12,27.647045135498047,27.747015381976055,27.020571364853275,27.171636046173965,193450800
AAPL,2015-03-13,27.456003189086914,27.858102951901085,27.23162894179886,27.635949023568383,207309200
AAPL,2015-03-16,27.758127212524414,27.758127212524414,27.296048420518424,27.520422623715213,143497200
AAPL,2015-03-17,28.22242546081543,28.284628267969687,27.913631743228663,27.96917020603059,204092400
AAPL,2015-03-18,28.54011344909668,28.6934001912993,28.073590571188532,28.213546926091023,261083600
AAPL,2015-03-19,28.324615478515625,28.713384710573685,28.302400432806465,28.602307787128524,183238000
AAPL,2015-03-20,27.96917152404785,28.52455448333958,27.80477814097911,28.491232760007673,274780400
