day,daily_tweet_count,daily_score
2015-01-01,299,1.425333110367893
2015-01-02,867,0.2681920415224914
2015-01-03,346,0.14252398843930636
2015-01-04,406,0.49863546798029557
2015-01-05,1147,0.15562868352223191
2015-01-06,1190,0.06214512605042018
2015-01-07,1094,0.09783363802559415
2015-01-08,1495,0.21730842809364548
2015-01-09,1122,0.08509367201426024
2015-01-10,351,0.057872079772079775
2015-01-11,300,0.24353733333333333
2015-01-12,942,0.1882411889596603
2015-01-13,1372,0.13506989795918367
2015-01-14,949,0.054699683877766074
2015-01-15,1144,0.005787150349650351
2015-01-16,1158,0.04092901554404145
2015-01-17,326,0.11193834355828221
2015-01-18,258,0.1068686046511628
2015-01-19,434,0.009913133640552995
2015-01-20,951,0.08255268138801262
2015-01-21,1080,0.15888185185185186
2015-01-22,1120,0.06814285714285714
2015-01-23,1224,0.12438905228758171
2015-01-24,323,0.22447027863777091
2015-01-25,403,0.28663424317617864
2015-01-26,1378,0.04124934687953556
2015-01-27,4291,0.3023705663015614
2015-01-28,4293,0.27747735849056604
2015-01-29,1958,0.13197533197139938
2015-01-30,1592,0.07413976130653267
2015-01-31,495,0.12797434343434344
2015-02-01,506,0.16455612648221343
2015-02-02,1087,0.05705206991720331
2015-02-03,1146,0.010846684118673644
2015-02-04,1577,0.06565206087507926
2015-02-05,1136,0.1558643485915493
2015-02-06,982,0.07392219959266802
2015-02-07,392,0.08496071428571429
2015-02-08,294,0.07282482993197278
2015-02-09,942,0.1256604033970276
2015-02-10,2081,0.2129780874579529
2015-02-11,2442,0.48172166257166255
2015-02-12,2058,0.2824228862973761
2015-02-13,1582,0.1388341972187105
2015-02-14,756,0.8255969576719578
2015-02-16,671,0.22846572280178837
2015-02-17,1639,0.1126150701647346
2015-02-18,1209,0.10090628618693136
2015-02-19,1230,0.26585252032520323
2015-02-20,1368,0.032675073099415204
2015-02-21,450,0.09097644444444444
2015-02-22,463,0.23460755939524838
2015-02-23,2097,0.34926666666666667
2015-02-24,1662,0.20145709987966307
2015-02-25,1930,0.08644191709844559
2015-02-26,2386,0.14085880134115675
2015-02-27,1728,0.10534652777777778
2015-02-28,572,0.09238986013986014
2015-03-01,657,0.18290015220700154
2015-03-02,1360,0.1882697794117647
2015-03-03,1345,0.16360312267657992
2015-03-04,1278,-0.09810978090766823
2015-03-05,1756,0.07352277904328018
2015-03-06,1714,0.07419865810968494
2015-03-07,940,0.08175978723404256
2015-03-08,743,0.12103593539703902
2015-03-09,4647,0.3030135140951151
2015-03-10,2497,0.04318910692831398
2015-03-11,1883,0.029531545406266596
2015-03-12,1574,0.10352534942820839
2015-03-13,1278,0.20669859154929576
2015-03-14,705,0.06389617021276596
2015-03-15,809,0.10423473423980223
2015-03-16,1276,0.0417492946708464
2015-03-17,1846,0.06891765980498375
2015-03-18,1490,0.08055657718120805
2015-03-19,1473,0.1059367956551256
2015-03-20,1402,0.05262104136947218
2015-03-21,747,0.06534872824631861
2015-03-22,535,0.07427719626168224
2015-03-23,1158,0.07203583765112263
2015-03-24,1088,0.08382619485294118
2015-03-26,1261,0.09781459159397304
2015-03-27,1052,0.04609106463878327
2015-03-28,669,0.07684529147982062
2015-03-29,568,0.052776936619718315
2015-03-30,1116,0.18292867383512545
2015-03-31,1084,0.14576457564575646
2015-04-01,1117,0.07353965980304386
2015-04-02,1057,0.8671480605487227
2015-04-03,706,0.07013909348441927
2015-04-04,594,0.07909343434343434
2015-04-05,584,0.10766609589041096
2015-04-06,1224,0.12082271241830066
2015-04-07,1239,0.1711944309927361
2015-04-08,1216,0.11292927631578947
2015-04-09,1143,0.14494943132108487
2015-04-10,1574,0.11897045743329097
2015-04-11,506,0.4813300395256917
2015-04-12,479,0.06401858037578288
2015-04-13,1209,0.77533788254756
2015-04-14,1116,0.04791066308243728
2015-04-15,981,0.06495025484199796
2015-04-16,1050,0.08083447619047619
2015-04-17,1151,0.08354622067767159
2015-04-18,461,0.05404859002169198
2015-04-19,379,1.827834300791557
2015-04-20,1116,0.1371086917562724
2015-04-21,525,0.058804
2015-04-22,1042,0.057472264875239924
2015-04-23,1324,0.10720808157099698
2015-04-24,1448,0.3114777624309393
2015-04-25,581,0.11494010327022376
2015-04-26,589,0.3074195246179966
2015-04-27,4489,0.28904528848295835
2015-04-28,3470,0.07670311239193081
2015-04-29,2900,0.041336379310344826
2015-04-30,2345,0.02971628997867804
2015-05-01,1510,0.07990066225165562
2015-05-02,10,0.52389
2015-05-03,885,0.17019152542372884
2015-05-04,1090,0.057243577981651375
2015-05-05,583,-0.11616758147512862
2015-05-06,1317,0.06437152619589977
2015-05-07,1320,0.028970984848484843
2015-05-08,330,0.033963939393939394
2015-05-10,415,0.07169879518072289
2015-05-11,1093,0.08410631290027447
2015-05-12,202,0.045692079207920795
2015-05-13,101,0.019228712871287128
2015-05-14,826,0.09801029055690072
2015-05-15,1048,0.0894736641221374
2015-05-16,652,0.042631134969325156
2015-05-17,650,0.10377230769230769
2015-05-18,1897,0.31952957301001583
2015-05-19,1574,0.07764313850063533
2015-05-20,1222,0.056832815057283145
2015-05-21,1317,0.09995444191343962
2015-05-22,1050,0.16018838095238094
2015-05-23,506,0.053307707509881425
2015-05-24,306,0.09791633986928104
2015-05-25,630,0.0859084126984127
2015-05-26,1687,0.017426200355660938
2015-05-27,1245,0.08913421686746988
2015-05-28,1169,0.06448502994011976
2015-05-29,175,0.11667771428571429
2015-05-30,620,0.21770854838709677
2015-05-31,624,0.04062211538461538
2015-06-01,1025,0.10350156097560975
2015-06-02,1067,0.06344376757263355
2015-06-03,171,0.003712865497076023
2015-06-04,1082,0.05809972273567468
2015-06-05,1033,0.033333688286544046
2015-06-06,307,0.08520586319218239
2015-06-07,477,-0.06891278825995804
2015-06-08,351,-0.022000284900284897
2015-06-09,1876,0.07103837953091685
2015-06-10,1310,0.0023343511450381682
2015-06-11,1119,-0.0006588025022341331
2015-06-12,998,-0.061258116232464924
2015-06-13,306,0.06152908496732026
2015-06-14,657,0.020916894977168955
2015-06-15,1069,0.07250551917680075
2015-06-16,960,0.03710364583333334
2015-06-17,829,-0.12240325693606754
2015-06-18,1080,0.09495148148148148
2015-06-19,881,0.014652213393870597
2015-06-20,520,0.032679230769230766
2015-06-21,522,0.2010088122605364
2015-06-22,1180,0.21886601694915256
2015-06-23,1059,0.0670900849858357
2015-06-24,1435,0.4501470383275261
2015-06-25,1020,0.11513
2015-06-26,867,0.045110726643598616
2015-06-27,496,0.08055141129032257
2015-06-28,619,0.01374458804523425
2015-06-29,1036,0.026309942084942084
2015-06-30,1112,0.12766312949640288
2015-07-01,882,0.03614376417233559
2015-07-02,656,0.03588673780487805
2015-07-03,487,0.07173921971252566
2015-07-04,397,0.12132972292191437
2015-07-05,240,-0.11760916666666668
2015-07-06,530,0.05536735849056604
2015-07-08,979,-0.01536956077630235
2015-07-09,1559,-0.09463110968569596
2015-07-10,1419,0.13244207188160678
2015-07-11,573,0.025118324607329844
2015-07-12,582,0.411486941580756
2015-07-13,1006,0.32666451292246523
2015-07-14,942,0.18776210191082804
2015-07-15,1055,0.08659981042654029
2015-07-16,1032,0.016312984496124033
2015-07-17,876,0.14018253424657534
2015-07-18,357,0.4324868347338936
2015-07-19,356,0.11316853932584271
2015-07-20,1385,0.1317641155234657
